Stunde,Temperatur,Taupunkt,Luftdruck,Regen,Sonne,Windspitze,Windrichtung
6,-0.3,-2.0,1001,0,0,12,250
7,0.6,-1.0,1010,0,0,16,263
8,1.3,0.0,1010,0,0,22,270
9,1.9,0.0,1010,0,17,22,272
10,2.3,1.0,1009,0,28,33,269
11,2.4,1.0,1008,0,27,35,264
12,3.1,1.0,1007,0,38,35,266
13,3.4,2.0,1006,0,33,60,264
14,3.5,2.0,1004,0,13,44,256
15,3.4,2.0,1003,0,1,48,252
16,3.5,2.0,1001,1,0,56,251
17,3.6,2.0,1000,1,0,53,252
18,4.0,3.0,999,1,0,50,257
19,4.6,3.0,997,2,0,52,258
20,4.8,3.0,997,3,0,54,266
21,4.7,3.0,996,4,0,53,274
22,3.3,1.0,995,4,1,95,282
23,2.8,0.0,994,5,0,68,287
1,-0.6,-2.0,1012,0,0,13,261
2,-0.8,-2.0,1012,0,0,11,248
3,-0.7,-2.0,1012,0,0,9,244
4,-0.4,-2.0,1011,0,0,10,270
5,-0.3,-2.0,1011,0,0,12,277
